HSCode,Commodity,value,country,year
31,FERTILISERS.,554.48,U S A,2012
32,"TANNING OR DYEING EXTRACTS; TANNINS AND THEIR DERI. DYES, PIGMENTS AND OTHER COLOURING MATTER; PAINTS AND VER; PUTTY AND OTHER MASTICS; INKS.",153.03,U S A,2012
33,"ESSENTIAL OILS AND RESINOIDS; PERFUMERY, COSMETIC OR TOILET PREPARATIONS.",48.81,U S A,2012
34,"SOAP, ORGANIC SURFACE-ACTIVE AGENTS, WASHING PREPARATIONS, LUBRICATING PREPARATIONS, ARTIFICIAL WAXES, PREPARED WAXES, POLISHING OR SCOURING PREP.",95.74,U S A,2012
35,ALBUMINOIDAL SUBSTANCES; MODIFIED STARCHES; GLUES; ENZYMES.,47.73,U S A,2012
36,EXPLOSIVES; PYROTECHNIC PRODUCTS; MATCHES; PYROPHORIC ALLOYS; CERTAIN COMBUSTIBLE PREPARATIONS.,4.3,U S A,2012
37,PHOTOGRAPHIC OR CINEMATOGRAPHIC GOODS.,96.12,U S A,2012
38,MISCELLANEOUS CHEMICAL PRODUCTS.,897.33,U S A,2012
39,PLASTIC AND ARTICLES THEREOF.,882.72,U S A,2012
40,RUBBER AND ARTICLES THEREOF.,215.36,U S A,2012
41,RAW HIDES AND SKINS (OTHER THAN FURSKINS) AND LEATHER,9.42,U S A,2012
42,"ARTICLES OF LEATHER,SADDLERY AND HARNESS;TRAVEL GOODS, HANDBAGS AND SIMILAR CONT.ARTICLES OF ANIMAL GUT(OTHR THN SILK-WRM)GUT.",7.28,U S A,2012
43,"FURSKINS AND ARTIFICIAL FUR, MANUFACTURES THEREOF.",0.03,U S A,2012
44,WOOD AND ARTICLES OF WOOD; WOOD CHARCOAL.,41.39,U S A,2012
45,CORK AND ARTICLES OF CORK.,0.13,U S A,2012
46,"MANUFACTURES OF STRAW, OF ESPARTO OR OF OTHER PLAITING MATERIALS; BASKETWARE AND WICKERWORK.",0.01,U S A,2012
47,PULP OF WOOD OR OF OTHER FIBROUS CELLULOSIC MATERIAL; WASTE AND SCRAP OF PAPER OR PAPERBOARD.,394.61,U S A,2012
